ID,Statement,Prediction,Reference,Correction
1,alliance with the vanara (monkey) army was instrumental in ramas victory over lanka.,True,"""Book: Yuddha Kanda ( Book of War ), Chapter: 42, Verse: 6""",
2,bharata accepted the throne without any longing for ramas return.,False,"""Book: Bala Kanda ( Book of Youth), Chapter: 1, Verse: 33b, 34""","The translation is false because it states that Bharata accepted the throne without any longing for Rama's return, which contradicts the fact that Bharata went to the forest to propitiate Rama after Dasharatha's death."
3,bharata declared war on rama immediately after his exile.,False,"""Ayodhya Kanda (Book of Ayodhya), Chapter: 9, Verse: 33""",The translation is false as it contradicts the actual event described in verse 33.
4,bharata was the youngest of ramas brothers.,False,"""Book: Ayodhya Kanda (Book of Ayodhya), Chapter: 75, Verse: 8""","The translation incorrectly identifies Bharata as the youngest brother, whereas the verse actually mentions him starting out with Shatrughna, indicating he might be the middle or younger brother."
5,dasaratha wanted lakshmana to become the kind of ayodhya.,False,"""Ayodhya Kanda (Book of Ayodhya), Chapter: 66, Verse: 24""","Dasaratha's desire was for Lakshmana to embody the qualities of Ayodhya, not for himself to become Ayodhya."
6,dasaratha was still alive when rama returned to ayodhya after the exile.,False,"""Ayodhya Kanda (Book of Ayodhya), Chapter: 48, Verse: 26""","Dasaratha's death is certain after his exile,"
7,dasharatha performs a putrakameshti yajna to beget sons.,True,"""Bala Kanda ( Book of Youth), Chapter: 16, Verse: 9""",
8,demoness shurpanakha played a pivotal role in inciting the conflict between rama and ravana.,True,"""She is but the sister of ten-faced demon Ravana,"" ""and she has seen him on reaching the paradisiacal being like Rama""",
9,demoness simhika tries to capture hanuman during his flight but is killed by him.,True,"""That seeing Simhika was killed by Hanuman"", Book: Sundara Kanda (Book of Beauty), Chapter: 1, Verse: 196",
10,dushana was the king of monkeys allied to ravana.,False,"""Sugriva"", the king of monkeys, ...""",The correct term for the king of monkeys should be 'sugriva' instead of 'dushana'.
11,hanuman betrayed rama by divulging his battle plans to ravana.,False,"""Kishkindha Kanda (The Empire of Holy Monkeys), Chapter: 26, Verse: 7, 8a""","Hanuman did not divulge Rama's battle plans to Ravana,"
12,"hanuman is born to anjana and kesari with blessings from the wind god, vayu.",True,"""Sundara Kanda ( Book of Beauty ), Chapter: 35, Verse: 82""",
13,"hanuman married surasa, the serpent goddess.",False,"""Book: Sundara Kanda ( Book of Beauty ), Chapter: 1, Verse: 149,150""",The serpent goddess Surasa is not depicted as a loving or marital partner to Hanuman but rather as a powerful and intimidating figure.
14,hanuman never meets sita in the entire epic.,False,"""Sundara Kanda ( Book of Beauty ), Chapter: 11, Verse: 35""",The translation is factually incorrect as Hanuman did meet Sita in the epic.
15,hanuman was defeated by sita in a contest of strength during their first meeting.,False,"""Sundara Kanda ( Book of Beauty ), Chapter: 12, Verse: 22""",The translation incorrectly attributes the defeat to a contest of strength between Hanuman and Sita.
16,hanuman was taught the scriptures by sage surasa during his journey to lanka.,False,,
17,hanumans leap to lanka was achieved by riding a golden chariot rather than by his own power.,False,"""Book: Sundara Kanda ( Book of Beauty ), Chapter: 4, Verse: 1""","The translation incorrectly states that Hanuman achieved his leap to Lanka by riding a golden chariot, when in fact, it was his own power that enabled him."
18,jatayu survived after fighting ravana and later guided rama to sita.,False,"""Kishkindha Kanda (The Empire of Holy Monkeys)"" ""Chapter: 57, Verse: 10b, c""",Jatayu's death led to Rama's pursuit of Ravana.
19,jatayu tries to rescue sita from ravana and is mortally wounded.,False,"""Kishkindha Kanda (The Empire of Holy Monkeys)""","Jatayu's motivation for rescuing Sita was to try and save her, not because he was senescent."
20,kumbhakarna sleeps for six months at a time.,True,"""This most powerful kumbhakarna, the chief among all the wielders of weapons, was indeed sleeping for the last six months and now, he woke up."" ""Yuddha Kanda ( Book of War ), Chapter: 12, Verse: 11""",
21,kumbhakarna was ravanas father.,False,"""Yuddha Kanda ( Book of War ), Chapter: 8, Verse: 19""","Kumbhakarna is Ravana's brother, not his father."
22,lakshmana betrayed rama by siding with ravana during the war.,False,"""overpassing lakshmana, ravana the victorious in battle, approached rama, who stood like another mountain, in the battle-field."" (Book: Yuddha Kanda ( Book of War ), Chapter: 99, Verse: 21)","The translation incorrectly states that Lakshmana betrayed Rama, when in reality, Lakshmana remained loyal to Rama."
23,lakshmana is famous for his love of music and poetry rather than his loyalty to rama.,False,"""Kanda/Ayodhya"", Sarga/8, Shloka/31",The translation incorrectly attributes Lakshmana's famous trait as a love of music and poetry rather than his loyalty to Rama.
24,lakshmana refused to accompany rama into exile and stayed in ayodhya.,False,"""Yuddha Kanda ( Book of War ), Chapter: 128, Verse: 94""","Lakshmana's role and actions during the exile,"
25,lakshmana was not related to rama but was merely an adopted son with no real bond.,False,"""Aranya Kanda"", Sarga/Chapter: 47, Shloka/Verse: ""18b""","The translation incorrectly states that Lakshmana was not related to Rama but was merely an adopted son with no real bond. In reality, Lakshmana is indeed Rama's biological half-brother."
26,malyavan was ravanas son who betrayed him.,False,"""Book: Yuddha Kanda ( Book of War ), Chapter: 36, Verse: 1""","Malyavan is actually a demon and an ally of Ravana, not his son."
27,"malyavan, a rakshasa commander, advised ravana to return sita to avoid disaster.",True,"""Aranya Kanda (Book of Forest ), Chapter: 31, Verse: 31""",
28,"mandavi, bharatas wife, is the daughter of king kushadhvaja.",True,"""Book: Bala Kanda ( Book of Youth), Chapter: 72, Verse: 11""",
29,"mandodari, ravanas queen, is portrayed as a noble and wise figure despite her husbands deeds.",True,"""noble and wise"", Yuddha Kanda ( Book of War ), Chapter: 111, Verse: 2",
30,rama breaks shivas bow to win sitas hand in marriage.,False,,
31,rama is described as having a golden complexion in his youth.,True,"""Kishkindha Kanda"", ""Chapter: 14"", ""Verse: 19b, 20a""",
32,rama is frequently depicted riding a tiger instead of driving a chariot.,False,"""Ayodhya Kanda (Book of Ayodhya), Chapter: 50, Verse: 8,9,10""","Rama is actually depicted as riding an elephant or a chariot, not a tiger."
33,rama is known for his uncontrollable temper and unruly behavior.,False,"""Aranya Kanda (Book of Forest ), Chapter: 37, Verse: 12""",The translation inaccurately describes Rama's temperament as 'uncontrollable' when in fact he finds the conversation topic unapt.
34,"rama is often depicted holding a bow and arrow, representing his warrior spirit.",True,"""Aranya Kanda (Book of Forest ), Sarga/Chapter 44, Shloka/Verse 4b, 5, 6, 7a""",
35,rama kills the demoness tataka in the forest.,True,"""Book: Bala Kanda ( Book of Youth), Chapter: 1, Verse: 46""",
36,rama refused to go into exile despite his fathers explicit orders.,False,"""Ayodhya Kanda (Book of Ayodhya), Chapter: 87, Verse: 16""","Rama refused exile due to his own sense of duty and honor, not solely because of his father's explicit orders."
37,rama uses the brahmastra to kill ravana.,False,"""Book: Yuddha Kanda ( Book of War ), Chapter: 94, Verse: 17""","Rama uses the bow and arrow to kill his enemies, not the Brahmastra."
38,rama was born in lanka and later moved to ayodhya.,False,"""Kishkindha Kanda"", ""Sarga/Chapter"": 5, ""Shloka/Verse"": 3""","Rama was not born in Lanka but in Ayodhya,"
39,ramas departure for exile brought great sorrow to the people of ayodhya.,True,"""Ayodhya Kanda (Book of Ayodhya)"" Sarga/Chapter 41 Shloka/Verse ""16""",
40,"ramas exile lasted for fourteen years, as decreed by his stepmother kaikeyi.",False,"""Book: Ayodhya Kanda (Book of Ayodhya), Chapter: 12, Verse: 75""","The translation incorrectly states that Kaikeyi decreed Rama's exile, when in fact she gives her consent for him to go into exile."
41,ramas journey to lanka was undertaken in a hot air balloon instead of by a constructed bridge.,False,"""Yuddha Kanda ( Book of War ), Chapter: 22, Verse: 48""","The translation should be corrected to reflect that Rama crossed the ocean in a boulder bridge, not a hot air balloon."
42,"ramas reign is idealized as an era of peace and prosperity, often referred to as rama rajya.",True,"""Ayodhya Kanda"", Sarga/Chapter: 16, Shloka/Verse: 44",
43,ramas victory over ravana symbolizes the triumph of dharma (righteousness) over adharma (unrighteousness).,True,"""Yuddha Kanda ( Book of War ), Chapter: 107, Verse: 7""",
44,ramayana emphasizes the importance of following dharma over personal desires.,True,"""Yuddha Kanda"", ""112"", ""22""",
45,"ramayana is traditionally divided into six books, known as kandas.",True,"""Bala Kanda ( Book of Youth), Chapter: 4, Verse: 2""",
46,"ramayana was composed by the sage valmiki, earning him the title of adikavi (the first poet).",False,,
47,ravana is depicted as both a formidable warrior and a learned scholar in the ramayana.,True,"""Yuddha Kanda ( Book of War ), Chapter: 59, Verse: 107""",
48,ravana is portrayed as a kind and gentle ruler throughout the ramayana.,False,"""Aranya Kanda (Book of Forest ), Chapter: 54, Verse: 30""","Ravana's character in Ramayana is complex, showing both his cruel side (e.g., kidnapping Sita) and his attempts to appease Rama, but not necessarily portraying him as a kind and gentle ruler throughout."
49,"ravana is traditionally depicted with ten heads, symbolizing his vast knowledge and pride.",True,"""Sundara Kanda (Book of Beauty)"" ""49"" ""6""",
50,ravana voluntarily returned sita to rama out of sudden remorse without any conflict.,False,"""Bala Kanda ( Book of Youth), Chapter: 1, Verse: 81""","Ravana's actions were driven by a desire to win Sita back without conflict, not out of remorse."
51,ravana was a demon (rakshasa) by birth.,False,"""King of Demons""","Ravana's title should be understood as a position rather than a description of his birth,"
52,ravana was defeated without any battle or struggle in the ramayana.,False,"""Yuddha Kanda ( Book of War )"", Sarga/Chapter: 109, Shloka/Verse: 14","Ravana's death was a result of his own actions, not a defeat without battle."
53,ravana was undefeatable because he had a magical armor.,False,"""Ravana's armour looked like a great cloud""","Ravana's armor is described in verse 37 of Yuddha Kanda (Book of War) Chapter 99 as resembling a large cloud, not having magical properties."
54,ravanas son indrajit uses magical weapons in battle.,False,"""Book: Yuddha Kanda ( Book of War ), Chapter: 45, Verse: 5""",The translation should be corrected to reflect the use of arrows with great speed and power.
55,"sage agastya blessed rama during his early adventures, guiding his journey.",True,"""Aranya Kanda (Book of Forest), Chapter: 12, Verse: 31""",
56,shatrughna is rama's youngest brother.,False,"""Bala Kanda ( Book of Youth), Chapter: 18, Verse: 32b, 33a""","Shatrughna is actually Lakshmana's younger brother, not Rama's."
57,shurpanakha tries to seduce rama and lakshmana but is disfigured by lakshmana.,False,"""Ravana spoke this very caustic sentence to Rama"", Book: Aranya Kanda (Book of Forest ), Chapter: 32, Verse: 25","Shurpanakha's disfigurement is attributed to Ravana's words, not Lakshmana's action."
58,"sita accompanied rama into exile, symbolizing her unwavering loyalty.",True,"""Ayodhya Kanda"", ""Chapter: 37"", ""Verse: 36""",
59,sita cursed ravana to be reborn as a demon again.,False,"""as demon anuhlaada carried off sachi devi"", ""The Empire of Holy Monkeys"", Kishkindha Kanda, Chapter: 39, Verse: 6","The translation incorrectly states that Sita cursed Ravana to be reborn as a demon again, when in fact the verse describes Ravana's actions."
60,sita is described as having magical powers that allowed her to summon storms.,False,"""Sundara Kanda ( Book of Beauty ), Chapter: 19, Verse: 9""","The translation is false and should be corrected to reflect that Sita's powers are described in terms of being under a spell or incantation, rather than having magical powers to summon storms."
61,sita is found by king janaka while he is ploughing the field.,True,"""Sita, the illustrious daughter of janaka, who is following the steps of rama the lord of the earth extending to the sea, has fulfilled her object.""",
62,sita is portrayed as a warrior who fought against ravana on the battlefield.,False,"""that unfortunate lady is held captive against her will and she is now amidst the female titans who guard her jealously"" (Book: Yuddha Kanda ( Book of War ), Chapter: 17, Verse: 13)","Sita's role in the Ramayana is that of a princess and a wife, not a warrior."
63,sita left rama willingly to live in lanka.,False,"""Sundara Kanda ( Book of Beauty ), Chapter: 16, Verse: 24""","The word 'willingly' changes the meaning of the original verse, and instead suggests that Sita left Rama voluntarily. This contradicts the context where it is stated that Sita is 'keeping body desirous of meeting with sri rama', implying she misses Rama."
64,sita was never abducted; she voluntarily went to lanka.,False,"""Aranya Kanda (Book of Forest ), Chapter: 64, Verse: 69b, 70a""",The translation is false because it misrepresents Sita's abduction in the Aranya Kanda.
65,sita was the biological daughter of ravana.,False,"""Aranya Kanda (Book of Forest ), Chapter: 55, Verse: 37""","Sita's parentage should be stated as Janaka, not Ravana."
66,sitas abduction by ravana led to the unification of various forces against the ravana.,True,"""The elimination of demons like Khara, Trishirasa and the upsurge of Ravana thereby; elimination of demon Mareecha, and Ravana's abduction of Sita, likewise.""",
67,sugreeva defeats bali in a fist fight.,False,"""Kishkindha Kanda (The Empire of Holy Monkeys), Chapter: 16, Verse: 78""","The translation should be corrected to reflect that Sugreeva fights against Kumbhakarna, not Bali."
68,"sugreeva, the sugriva, became a trusted ally of rama against the forces of lanka.",True,"""The meeting of hearts through affinity had taken place between them. Sugriva had been banished in the past by the enraged Vali, his elder brother.""",
69,sugriva becomes king of kishkindha with ramas help.,True,"""Kishkindha Kanda (The Empire of Holy Monkeys)"" ""Sarga/Chapter: 26"", ""Shloka/Verse: 5b, 6""",
70,sugriva was hesitant to trust rama until rama helped him defeat vali.,True,"""Book: Sundara Kanda ( Book of Beauty ), Chapter: 35, Verse: 49""",
71,sumantra was a warrior who fought bravely in lankas army.,False,"""Yuddha Kanda"", Sarga/Chapter/ Shloka ""111"", ""56""","Sumantra was a charioteer, not just a warrior."
72,the monkey army in the ramayana was led by ravana himself.,False,"""Yuddha Kanda ( Book of War ), Chapter: 73, Verse: 75""","Ravana's role in the monkey army is not explicitly stated,"
73,the hanuman nala was an architect who helped build the rama setu (bridge).,False,"""Book: Bala Kanda ( Book of Youth), Chapter: 3, Verse: 34""","Nala built the bridge on his own initiative, not with Hanuman's help."
74,the vulture sampati aided hanuman by providing crucial information during his journey.,True,"""After that, the strong hanuman, upon the word of the vulture sampati who was elder brother of jatayu, flew across the salty ocean one hundred yojanas in breadth.""",
75,trijata comforts sita during her captivity through prophetic dreams.,True,"""Book: Sundara Kanda ( Book of Beauty ), Chapter: 51, Verse: 34""",
76,vali is killed by rama from behind while fighting sugriva.,False,"""Bala Kanda ( Book of Youth ), Chapter: 1, Verse: 69""",The translation is false because it incorrectly describes the manner of Vali's death.
77,valmiki composed the ramayana while exiled on a deserted island with no guidance.,False,"""Book: Bala Kanda ( Book of Youth), Chapter: 3, Verse: 1""",The translation is false and should be corrected to reflect that Valmiki was inspired by Sage Narada's narration.
78,valmiki was a warrior king who fought alongside rama in battle.,False,"""Bala Kanda ( Book of Youth), Chapter: 4, Verse: 1""",Valmiki is not described as a warrior king in the Ramayana.
79,vibhisana was killed in the war between rama and ravana.,False,"""The great-souled Sushena"" killed Vidyunmali (Book: Yuddha Kanda ( Book of War ), Chapter: 123, Verse: 7)",Vibhishana was actually killed by Ravana's soldiers after he defected from the Lankan army and joined Rama's side.
80,"vibhishana, ravanas brother, defected to ramas side due to his commitment to righteousness.",True,"""consoling and convincing vibhishana thus, sugreeva spoke to sushena, his father-in-law, who was on his side""",
